customer_id,first_name,last_name,email,phone,registration_date,city,state,country,age_group
CUST0001,Paul,Jordan,user1@example.com,898-916-2626,2024-09-08,Santostown,Indiana,Western Sahara,36-50
CUST0002,Kristen,Ramirez,user2@example.com,804-484-4426x14368,2025-10-20,Shawnhaven,New Jersey,Armenia,50+
CUST0003,Morgan,Odonnell,user3@example.com,001-629-864-3912x5129,2024-12-03,West Paige,Maine,Guinea,50+
CUST0004,Angela,Morris,user4@example.com,912.726.1241x07125,2025-03-24,East William,Idaho,Bouvet Island (Bouvetoya),26-35
CUST0005,Joshua,Cooper,user5@example.com,461.690.7256,2024-01-30,East Roberttown,Missouri,Malawi,36-50
CUST0006,Leslie,Mckenzie,user6@example.com,841-781-3268x14452,2024-06-22,New Melissa,Washington,United Kingdom,50+
CUST0007,Donna,Andrews,user7@example.com,982.987.6878,2024-10-07,Lake Henry,Indiana,Paraguay,18-25
CUST0008,Christopher,Morales,user8@example.com,479-849-6384x95291,2024-07-17,Deborahland,Virginia,Ghana,50+
CUST0009,Kathryn,Osborne,user9@example.com,(809)821-6109,2025-03-11,New Cathyfort,Vermont,Taiwan,26-35
CUST0010,Tina,Mason,user10@example.com,001-763-970-3096x34539,2025-01-30,Juliaborough,Connecticut,Turkmenistan,50+
CUST0011,David,Robinson,user11@example.com,641-546-7968x80258,2025-02-26,Castrofurt,Vermont,Malta,36-50
CUST0012,Melissa,Brown,user12@example.com,8013647242,2024-01-19,Port Mariafurt,New Jersey,Portugal,36-50
CUST0013,Luke,Watts,user13@example.com,001-372-918-7189x0933,2025-10-17,North Jonathan,North Carolina,India,50+
CUST0014,Tiffany,Russell,user14@example.com,(885)706-9388x154,2025-09-18,Henryhaven,Mississippi,Mauritius,50+
CUST0015,Caleb,White,user15@example.com,927-757-1760x18968,2025-01-16,South Andrewside,Tennessee,Lithuania,18-25
CUST0016,Michael,Le,user16@example.com,4757503584,2024-08-20,Dawnchester,South Carolina,Western Sahara,50+
CUST0017,Candace,Brown,user17@example.com,785.957.8796,2025-02-02,East Thomasville,Florida,United States of America,26-35
CUST0018,Juan,Mayer,user18@example.com,001-254-289-1960x7149,2023-12-30,Castroville,Maryland,United Kingdom,36-50
CUST0019,Steven,Contreras,user19@example.com,+1-618-715-7297x6068,2025-09-09,Webbmouth,Mississippi,Zimbabwe,18-25
CUST0020,Adrian,Alexander,user20@example.com,855.971.8910x96010,2025-09-28,East Rachel,Minnesota,Cape Verde,50+
CUST0021,Dustin,Hardy,user21@example.com,5022482090,2024-06-19,North Stephanie,Colorado,Saudi Arabia,26-35
CUST0022,Michael,Nichols,user22@example.com,596.847.0067x7854,2025-09-01,Amyview,Indiana,Mongolia,18-25
CUST0023,Jennifer,Smith,user23@example.com,(385)900-5469x9490,2025-07-16,Kathleenborough,Arkansas,Guadeloupe,26-35
CUST0024,David,Williams,user24@example.com,841-278-5537x52091,2024-09-13,Jasonview,Arizona,Spain,50+
CUST0025,Mary,White,user25@example.com,355.204.2118x95864,2024-03-07,Hintonside,Georgia,Tokelau,36-50
CUST0026,Joshua,Hall,user26@example.com,+1-659-407-8187x95216,2025-01-22,Joannaberg,Mississippi,Palau,18-25
CUST0027,Kristine,Barrera,user27@example.com,(427)768-2867x093,2024-03-20,Jonathanmouth,North Dakota,Madagascar,18-25
CUST0028,Joseph,Hull,user28@example.com,679.412.7230x130,2025-05-30,Kristinport,South Carolina,Pitcairn Islands,26-35
CUST0029,Allison,Weaver,user29@example.com,647.853.4227,2025-01-04,Lake Albert,Nevada,Mali,26-35
CUST0030,Angel,Dunlap,user30@example.com,001-356-991-4183x0200,2025-08-19,West Caroline,Montana,Dominican Republic,26-35
CUST0031,John,Ross,user31@example.com,3599244489,2024-02-28,Port John,Texas,Israel,26-35
CUST0032,Sharon,Larsen,user32@example.com,+1-440-823-2429x15108,2025-10-20,New Lisashire,New Jersey,Holy See (Vatican City State),26-35
